field,type,n_records,TP,TN,FP,FN,precision_micro,recall_micro,f1_micro,accuracy,subset_accuracy_exact_match,avg_jaccard,balanced_accuracy,mcc,avg_size_abs_error,gt_empty_rate,pred_empty_rate
supporto,multilabel,1146,630,15740,333,487,0.6542056074766355,0.5640107430617726,0.6057692307692307,,0.4336823734729494,0.4336823734729494,0.7716463844096271,0.582340133812284,0.5427574171029669,0.2776946107784431,0.4184131736526946
zone,multilabel,981,454,17260,312,613,0.5926892950391645,0.42549203373945643,0.49536279323513366,,0.3109072375127421,0.35677879714576954,0.703868256796885,0.4771548028443953,0.6085626911314985,0.33308383233532934,0.5284431137724551
materials_used,multilabel,940,839,62959,425,637,0.6637658227848101,0.5684281842818428,0.6124087591240877,,0.35851063829787233,0.48992197814006294,0.7808615110479011,0.6059918545096038,0.6808510638297872,0.33607784431137727,0.437874251497006
technique_used,multilabel,1157,869,23677,513,395,0.6287988422575976,0.6875,0.6568405139833711,,0.4978392394122731,0.5760670041568917,0.8331464448119057,0.6387729854469838,0.3802938634399309,0.22904191616766467,0.19386227544910178
environmental_issue,multilabel,67,39,718,33,14,0.5416666666666666,0.7358490566037735,0.624,,0.4925373134328358,0.5248756218905472,0.8459538225761877,0.6012903636869787,0.43283582089552236,0.9655688622754491,0.9520958083832335
working_issue,multilabel,292,142,3966,144,128,0.4965034965034965,0.5259259259259259,0.5107913669064749,,0.3047945205479452,0.3613013698630137,0.7454447147877805,0.47789175497091363,0.7602739726027398,0.8323353293413174,0.8413173652694611
