efflorescenze saline,9
sviluppi biodeteriogeni,3
presenza di sali solubili,4
attacchi biologici (licheni),1
attacco xilofago,2
umiditˆ di risalita capillare,1
infiltrazioni d'acqua,1
presenza di sali solubili e non solubili,1
presenza di acqua che causa solubilizzazione dei solfati,1
presenza insetti,1
