aderenza/adesione insufficiente
assenza di armature interne
assenza di tutori esterni
bassa bagnabilità della superficie (protettivi pregressi)
bassa qualità della finitura
cadute della pellicola pittorica/film decorativo
chiodi spezzati non removibili
coesione insufficiente (intonaci/stucchi)
controllabilità insufficiente della pulitura
danneggiamento grave
decoesione dell’intonaco
decoesione della pellicola pittorica
decoesione/allentamento degli incastri
deformazione
disancoraggio degli intonaci
distacchi dell’intonaco
distacchi parietali generali
distacchi profondi
distacchi puntuali (intonaci/stucchi)
distacco
distacco del colore (in corrispondenza di fratture)
distacco della tela
distacco tra elementi/parti
distacchi tra le tele
fenditure strutturali
fessura
formazione di macchie
dislocazione
fragilità degli strati decorativi
fragilità del supporto
frammenti insufficienti per ricomposizione
frammenti non riutilizzabili
fratturazioni/rotture dei materiali
impossibilità di intervento diretto
impossibilità di posizionamento degli elementi
impossibilità di riadesione completa dei sollevamenti
impossibilità di utilizzo del termocauterio
inefficacia su superficie irregolare
infestazione da tarli
instabilità (generale)
instabilità delle commettiture
lacuna
ricostruzione lacunosa/incompleta
lavoro in quota difficoltoso
lentezza dell’azione pulente
macchiature dell’intonaco di finitura
malta cementizia non idonea
malte incongrue
mancanza di preparazione
mancanza di superficie del supporto
materiale eterogeneo/miscelato
materiale non idoneo
microfessurazione
potenziale abrasività
presenza di chiodi industriali
problemi dell’intonaco (generico)
residui biancastri
rimozione incompleta di grasso assorbito
rischio di caduta dei frammenti
rischio di scivolamento durante il sollevamento
risultati non soddisfacenti
ritardo nella fase di sollevamento
scagliature
scheggiatura
scivolamenti
scivolamento/rotazione incontrollata per forma
sconnessione
spessore insufficiente della pietra (portanza)
sollevamenti della pellicola pittorica/film decorativo
sollevamenti della campitura
rottura durante il sollevamento
stuccature non idonee
tenacità eccessiva del materiale impiegato
tensione della cera
travi sconnesse
trazioni/sollecitazioni pericolose
risultati non soddisfacenti,1
ritardo nella fase di sollevamento,1
rotture,1
scagliature,1
scheggiatura,1
scivolamenti,1
scivolamento o rotazione incontrollata dei manufatti a causa della forma,1
sconnessione,1
sezione della pietra troppo sottile per sostenere il peso,1
sollevamenti del film pittorico-decorativo,1
sollevamenti della campitura,1
sollevamenti della pellicola pittorica,1
spezzarsi di una porzione di base durante il sollevamento,1
stuccature non idonee ai materiali originali,1
stuccature non idonee,2
tenacità del materiale impiegato,1
tensione della cera,1
travi sconnesse,1
trazioni e sollecitazioni pericolose,1
value,count
