abbassamento delle integrazioni precedenti
abbassamento di tono
ablazione ad ultrasuoni
ablazione meccanica
abrasione
alleggerimento
allettamento
ammannitura
ammorbidimento
analisi mineralogico-petrografiche
analisi stratigrafica
analisi visiva
applicazione a pennello
applicazione a spruzzo
applicazione a nebulizzazione
applicazione ad aerosol
applicazione a tampone
applicazione con spatola
applicazione con siringa
applicazione con pipetta
applicazione con impacchi
applicazione a strati separati
applicazione a doppia mano
applicazione a mano
aspirazione
asportazione
asportazione a bisturi
asportazione a tampone
asportazione meccanica
asportazione parziale
assottigliamento dell’intonaco
attenuazione delle disomogeneità
bagnatura
bocciardatura
bonifica con impacchi
brossatura / spazzolatura meccanica
campionamento
caratterizzazione tecnico-tecnologica
carteggiatura
cerchiatura
chiusura di fori e fenditure (sigillatura)
consolidamento
consolidamento a tergo
consolidamento per impregnazione
consolidamento per infiltrazione
consolidamento per iniezione
consolidamento per nebulizzazione
consolidamento preliminare
consolidamento localizzato
consolidamento puntuale e diffuso
consolidamento strutturale
controventatura
correzione dei vecchi ritocchi
cuci-scuci
cucitura
deacidificazione
detersione
diluizione
disinfestazione
disinfestazione a gas
disinfestazione per iniezione
disinfestazione a pennello
disinfestazione preventiva
distacco
essiccazione / asciugatura
estrazione sali
fascettatura
fermatura del colore
fermatura della pellicola pittorica
finitura
fissaggio
fissaggio a spruzzo
fissaggio finale
foderatura
foratura (per consolidamento)
formulazione di malte
fumigazione
gelificazione
graficizzazione
idrolavaggio
imbibizione
imitazione del bolo
imitazione del materiale lapideo
immissione ripetuta del consolidante
impacco preliminare
impacchi
microimpacchi
impermeabilizzazione
impregnazione
incollaggio
indagine stratigrafica
infiltrazione
iniezione
iniezioni a bassa pressione
iniezione micronizzata
iniezione supermicronizzata
intonacatura a calce
integrazione formale
integrazione plastica
integrazione pittorica
integrazione localizzata
integrazione delle stuccature
integrazione lacune con malte
integrazione lacune con inserti
interposizione rete (armatura)
lavaggio
lavaggio per immersione
levigatura
lucidatura
mantenimento del gel a contatto
microcementazione armata
microstuccatura
microsabbiatura
mimetismo
modellazione
nebulizzazione
osservazione al microscopio
passaggio a tampone
tamponatura
patinatura
patinatura finale
preconsolidamento
prefissaggio
prove preliminari
saggi di pulitura
test di solubilizzazione
pulitura
pulitura a secco
pulitura ad umido
pulitura meccanica
pulitura meccanica controllata
pulitura chimica
pulitura chimica a tampone
pulitura chimica ad impacco
pulitura con gel
pulitura con impacchi
pulitura aeroabrasiva
pulitura a vapore
pulitura laser
pulizia
rasatura
raschiatura
raccordo materico
reidratazione
reidratazione a vapore
reintegrazione
reintegrazione a tono
reintegrazione a tratteggio
reintegrazione ad acquerello
reintegrazione a velature
reintegro con malte / litotipi
reintonacatura
riadesione
riasassemblaggio
ricomposizione
riconsolidamento della carta
ricostruzione cromatica
ricostruzione volumetrica
ricostruzione lacune
rifacimento
ripristino
rifinitura
rifinitura meccanica
rimozione
rimozione a secco
rimozione a bisturi
rimozione a tampone
rimozione abrasiva
rimozione chimica
rimozione meccanica
rimozione meccanica di precisione
rimozione di ridipinture
rimozione di scialbature
rimozione di vernici
rimozione di cere ossidate
risarcimento
risarcitura
risciacquo
ristabilimento adesione
ristabilimento coesione
ritocco
ritocco a selezione cromatica (puntinismo)
ritocco a vernice
ritocco ad acquerello
ritocco mimetico
saldatura (su carta/tessili)
sgrassatura
sigillatura
soffiatura con aria compressa
spazzolatura
spolveratura
stesura di consolidante superficiale
stilatura dei giunti
stuccatura
svelinatura
sverniciatura
tassellatura
velatura
verniciatura
trattamento biocida
trattamento disinfestante
trattamento anticorrosivo
trattamento antiruggine
trattamento protettivo finale
