value,count
"INTERVENTO SUGLI ELEMENTI DORATI / INTERVENTO SUI TAVOLATI DIPINTI / ricomposizione su telaio e velinatura con carta giapponese",1
"INTERVENTO SUGLI ELEMENTI DORATI / BALAUSTRA POSTERIORE / riassemblaggio su telai provvisori e numerazione",1
"INTERVENTO SUGLI ELEMENTI DORATI / IMBALLAGGIO / criteri e modalità",1
"INTERVENTO SUGLI ELEMENTI DORATI / IMBALLAGGIO / trattamento disinfestante reiterato e casse forellate",1
"Pavimento",1
"Impianti",1
"Le due acquasantiere.",1
"affreschi arco trionfale e parete di fondo del Presbiterio",1
"Ricostruzione dito medio destro",1
"Nuove stuccature",1
