value,count
"Architettonico",283
"Murario",162
"Scultoreo",121
"Decorato",89
"Archeologico / stratigrafico",81
"Murale affrescato",75
"A cupola",30
"Ad arco",11
"Pavimentale",9
"Documentario",8
"Voltato",5
"Capitello",4
"Cartaceo",3
"Fotografico",2
"Colonna",1
